hash,block,blocktime,from,label,to,label,value,fee
0x33ee1ee00a3211dce1ac95302c6c474721e50e899430c270ee1915a6ad84d323,10975667,2020-10-02 16:57:32,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0045
0x3f94b7c058e905d40115d5feaadbc92ee92655e85d812bc19e80d863d37a422d,10975669,2020-10-02 16:58:31,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0044
0x1f5a385d168c4b19d36473d5b92792fd0b70db29541f3171a1523e851e58917b,10975682,2020-10-02 17:00:39,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x113f34b517fb548a0c84eee58c58fb0c4e85b1bd28e9dcefdd25e0634fb943ab,10975682,2020-10-02 17:00:39,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x1c6e66c2a437f53945851e59213a50343b939916f68fd19a9d5fc863e766d277,10975687,2020-10-02 17:01:29,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x010babf42f13df12c39f9a89c9b9558d680f62b2fd7d4ddc178433e00b26a76a,10975696,2020-10-02 17:03:16,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x72df43d479d5467f9238433f99e64a5bdc6a1777c145cf79aabbeb42e3814820,10975701,2020-10-02 17:04:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0043
0x23c57f8fb10fc2be75525f19769f2150f592d831d063a8bae4d9bfba88b5053d,10975717,2020-10-02 17:08:33,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x6d26b476946524c8636fd354c8245d45fe5f029e7f2a3219e92fd8ee80fb2d48,10976789,2020-10-02 21:09:45,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0x63e60b4fdcd1ec84d697342aa1e4c0968a2155db82051a84a91b91b4424ede6d,10976793,2020-10-02 21:10:30,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0018
0xde3b6afb1def170065ec5c1c411823bbe374c4090cbf2aaa04f009faed3a46e9,10976811,2020-10-02 21:13:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0x9ae9dac9c0af02b707f702410de6946327f1355567991000de27578b0f6db208,10976813,2020-10-02 21:13:27,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0x88e95faa0f3e421a9180fa749784831b0412ac2e5d2e5fdaca9ef2c913330ba8,10976819,2020-10-02 21:14:28,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0xbb4bdf92780b307acfec38e112228322aba45bfa4c4d8507b6cf32646b02c6ee,10976839,2020-10-02 21:19:19,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0021
0xd96065389af40630f8a4bb60c98aac833f15182704c090877f1dba88e1b13e8b,10976849,2020-10-02 21:21:23,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0x0a553115758218ba7c617a22ad404e9cf7b5b2285a9ab93c14bbd22220ac0a00,10977010,2020-10-02 21:54:17,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0x7bb635f1c9af7e08c43c513e952ec52d5479f8c550ac4a884a5d04f7371719c0,10977617,2020-10-03 00:14:51,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.004
0x6a2ab2e26dbbf52baacfa2d705db0c6f26cb394d4cce64e8c059df5fe9ea00d7,10977659,2020-10-03 00:23:13,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0035
0x645f5745f112c59e8d2f5805f3b22930449dcd0794d9e7bb32347a613654613e,10977666,2020-10-03 00:25:30,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0035
0xa9daa2245fe95be74ca6940d337fe2e6a154189937e826b93ba259eb3acfbda7,10977668,2020-10-03 00:26:02,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0041
0x80abbdc20a0162b8874bb7edb66bb0f06c662e6a4537192be0162b416a0c966c,10977671,2020-10-03 00:26:37,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0035
0x73530055268fa39d0d26e252b27f8cf49c083220d736a245b5f41d2228180049,10978037,2020-10-03 01:55:35,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0x98ace950143edb7abe27df4df7b8d427f6b7858fe0b065dced070f21c5a1e002,10978072,2020-10-03 02:03:54,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.004
0x917a9c10e08d3fc55bcce8f352ff9369ca7f70ded20cd0aa33269522d88811d8,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0xfce9537a153cd273f4be40674c6744765451b36706ee163f289de415357c1b38,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0xebc75740af81266dd75bd9fd8e7f7d43f0fbad4e60c47a3bd8e103b05d106660,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x170570a1a6722bf00816c26e1d9ae1b6b2c0d09acc513b3676f71592604fc2f8,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0021
0x2a2499fe76aede9fa82f72ee734b8e727c8fc4b66b8e47cb408275716d610ef8,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0021
0x3cea937768b75f93817cd78a50bf39d39ed9c79df67017f6ab72429f75099f62,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0032
0xb27f434986af0d0c6e05d5549255d238112429190ca6a525d3917b82e94dad64,10978073,2020-10-03 02:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0042
0x0aaf11efa7ff1e657331cc164b9ecf01f7881229188a51085c34336f7fcde9e7,10978097,2020-10-03 02:10:02,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0019
0xa7ad1199c4f7396d69e85401d6b7bd9271452a53a5c1d4a874ad604e1519c7f0,10978097,2020-10-03 02:10:02,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.004
0x1318cc246efb7dc499b15f07b9c5c407f35e062e3d9969b4651d667ec251f20a,10978245,2020-10-03 02:43:28,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0x0d765a34e48d44ca98ac1858af53ce2c94a2194d242184f56e1a040fcf076f28,10980924,2020-10-03 12:56:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0018
0x0f173de7274670d4901d614f474f909d876c7c5b94671bf526d5996aea5a6bb3,10981662,2020-10-03 15:39:17,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0019
0x6a86ca5a85fa17f3581fc36e4d6c581e693f4eb6ad08462c0a719583179e2824,10981886,2020-10-03 16:26:15,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0x49a933765834675d81ca554c2a8b1a8b928d1609d404fe4fc9bbf46caac19860,10981961,2020-10-03 16:43:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0016
0xe410e34969fa1c68477038018102139fcb35bf65984b63818cda85d44dc000ae,10983111,2020-10-03 21:02:29,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0035
0x48f08300292d91202c75ca49a208fef7e425214511edce02395f6031eb64eb27,10983775,2020-10-03 23:33:02,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0x349816aca8fb417083b616160bb0b0bc580da30ed3d19fd5800750a0e00a45a6,11001889,2020-10-06 19:18:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0031
0xca0dc3c130b1f510194771beae2b292f9eeefc592371d3716a7817df83c92cb8,11002441,2020-10-06 21:20:05,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0045
0x80cc7ac4c250207b456e098ed913b5f70dad0d760f9d0668998ef5b06d85d492,11002494,2020-10-06 21:32:20,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0046
0x1c1fa8c0378c152df5ea3c6d613ba6af008e2ebe0c2220e490b15ab9b1cab947,11002497,2020-10-06 21:32:58,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0046
0xf7041c7a69028d04ab5dc1a472b04ea5767c697a56d820c2e831faa130444d26,11002785,2020-10-06 22:42:08,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0061
0xc08c338d22cb89fc8c2581ea963c8babfbfc4fcec95744de38532fc8aafb8e8c,11003086,2020-10-06 23:48:30,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0066
0x5e3bdbc740dd2b5024d9cae2aba176f4f8f8b007a931796e0f189e8fd4d2149c,11003086,2020-10-06 23:48:30,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0066
0x3d0ee7b3d6582789f4fcea325bf50bdd11e5584d55cc58b0f54cdc32562b76ab,11003094,2020-10-06 23:50:47,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0065
0x3dcce985ca9badf7cefc409fa363d96fcb69b90bd946f0cd1fed9836621c9cf6,11003094,2020-10-06 23:50:47,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0088
0x61583c1a46890aaf7aea686d60689e61be444298fab31cc87a7ea2846bcb648c,11003096,2020-10-06 23:51:42,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0068
0xc83145201fbe10b186f7ea18a5224af46aa1bc94c006bafa32b8d2b3b3976cff,11003097,2020-10-06 23:51:44,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.007
0xbb9951952544e954b07ce6f3d83a7b30a3f3aef65d127b965ce7ba9c5f0d5f73,11003100,2020-10-06 23:52:31,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0067
0x6e3b08e6b01e6f91f660d73a3df64508a25c806f47fca1feb79af91f1d4e4ebc,11003107,2020-10-06 23:54:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0074
0x9ca1bb64d526129004d10a5b637b2ce4f73fdffc2b7365f9d5c65b41dda26bed,11003107,2020-10-06 23:54:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0064
0x468d97f4203647c029a40d4f34d05c85bdc21c1dd5c2ef7de85b26220aec1566,11003121,2020-10-06 23:59:12,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.007
0xe4dfeea8ccb2c2c43dd9441a442536409efbbad1b62fc411732fee9fd90a12bb,11003122,2020-10-06 23:59:21,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0095
0x23df402287d72fc09e4892800039a7ad2a7ca63e5d76b6f1a327442d8b416a02,11003135,2020-10-07 00:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.007
0x075d1572d1044e8e77f816797e9393d9c63be1c4ba02e7e32ba733c1c0f2e6b4,11003135,2020-10-07 00:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0075
0x7b146510275db70e7213310cb672a61ff630a78ee1491635107a367842d26876,11003135,2020-10-07 00:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.007
0x92ef82a10bc6234c2a9a25049440d29115f7486a8e02cc931182910bab3cfe21,11003135,2020-10-07 00:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0074
0xbc74d7b85fb525e337ffa4e65b52b8acec41d1c52b86d4d9f4e082cf35dd519e,11003135,2020-10-07 00:03:59,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0106
0x0cf30c106448f0e6e735b36c4e7e4d4b6c21ffcd89912b61865daaa0640c63f2,11003139,2020-10-07 00:04:17,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0074
0xb2855f22b6fb83281db6dad4626820d3369efe56cdeedf2db70614038d315f39,11006490,2020-10-07 12:33:49,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0x3ce5275e952360c4d1f35ced0e616d50909a58dfd4392a2e0d3878cf982aaa2b,11006500,2020-10-07 12:36:35,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0x00d0f3477eb70158c1bdcb6bb1ea5afa03339c3551ee1e025a4b37a466fd569b,11028480,2020-10-10 23:28:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0028
0x1659630c28b968b538689af7c2c1ce1bcc5f0e933fe0f3adc05fe8531f13a9e1,11028597,2020-10-10 23:52:26,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0023
0xb133b2168de15603324e329ee6a147bbf99679c33efe4f9915eca3a6f63d078d,11028781,2020-10-11 00:32:48,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0029
0x15722a5d2b8e1a4800ab96dcede69ebbab491070c8614ae7db72c4986faacec4,11029064,2020-10-11 01:35:19,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0x6af959ee4ad36d13703ce503e522532e9b60f6fc1239a0709c3759afb4af16ce,11029072,2020-10-11 01:37:24,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0xbb7b68bd8fc185a200f40ede6a1259058b87ca5273522e2201f8c50768861b31,11029072,2020-10-11 01:37:24,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0019
0x950509d26588b68f77838ea7b0dd8fb3f8af422a740a943999c081d4739f35ae,11031944,2020-10-11 12:14:44,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0015
0x9f290db0f7b254b2776f8d7f45bde11542876ad80cc1eb8f73a1d6c972438a66,11032054,2020-10-11 12:38:14,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0xd66071eca421021f2616e93eb8a70e958cda26d251a26b28a160c76ca618848c,11034538,2020-10-11 21:42:38,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0019
0x4c590388cf64fc25e90a278086dd1e4a5125bdc65a32a13dee69e139f6136ebb,11040759,2020-10-12 20:24:05,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0x56eafde5f523f8cbe43523ad5233d7d79e0401908fdff192b587e78495e908fa,11040765,2020-10-12 20:25:06,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0018
0xa6a6c48aa922655d8af072a5cab0222a236c9e3eb2d51164bfd63f8687dd6c8c,11040767,2020-10-12 20:25:19,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0029
0xdbcc732326be204fedd59821897a668d88aa73c2ba8c99d68823798a0d57b160,11040775,2020-10-12 20:27:13,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0017
0xed79360a4e5ce6bb21cb10905e4c64c1592bbd9f6407b9c76e8766f42f5f8ffe,11041773,2020-10-13 00:11:53,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0045
0x21fa4c48b23b005cfb0a098cae1e51d69fea617a814d3d5a062f8f3e643a3a4c,11045778,2020-10-13 14:48:51,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0027
0xd4ef7ef86b87911cf2d69c245742909603f30f5b7b8203c9ee844b15878654bb,11050117,2020-10-14 06:48:20,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.001
0x00d8f5e56cffe76d1452147c975637504c9f6081b3372f9be9cd1d8e80f7ccd3,11071002,2020-10-17 11:23:45,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0009
0xe2583a33eafcc73cdf509cc12d82452a8d35cbb7275690650dfb43be1aba76d5,11092448,2020-10-20 18:25:33,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0011
0xfad2d3c0fcfe9c1632070bf95f36ed780db937e720fd72f29e35d20744d14e89,11130325,2020-10-26 14:10:46,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0028
0xf8610aaaad92b75474098b46684f397d0b23551f0e69b8ad1ee4acf41249c675,11130326,2020-10-26 14:10:55,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.003
0x0556b7cf67408e7abb8c443a4d30180b1e76299678d9f15dcec93c518d323e0c,11130331,2020-10-26 14:11:36,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0038
0x597904e9e5e7fb3f99f6249324a865599dbacc41a9a4fe0376c5532fe3405d77,11130336,2020-10-26 14:12:13,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0025
0x2720b7192d46a2411d34a345b2c94611ddb4b5f34673bcf454d7ae071de3f70f,11130340,2020-10-26 14:12:38,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0024
0x9a174f65b9a8c1573b36e7f2b8155835401b4e887ffcb01aab02de5ba994efa2,11130360,2020-10-26 14:19:09,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0036
0x906c821d8fa3fd6205b26d1a8488e88d1319f782c8c3fc6d3642087d739772a6,11130367,2020-10-26 14:21:34,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0029
0x3e2d37f768a6c3b99e674ad5f4f381d90182389c4259cdd18bd2444a34e3a051,11130367,2020-10-26 14:21:34,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0029
0x35c556b23647b99012b51918b78258dd31e83c81f3ee557355d69fe3fbbb2253,11130367,2020-10-26 14:21:34,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0039
0x3d61384ca9eae2fa8c2a282a8492c2333a3ce56cd3b7e8895b75cb6b3830aab9,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.003
0xed9b297b019a95d604b5f288f46b7c226f0f311a18a1a5388fabfaa47ad7d70f,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0033
0xab8db144d4fa3b45cd98638472b8a68a9c4149255463bb5559aa504ba695dd3a,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0027
0xa7aa45246a5329b74f65baa9c27ad3d97b35252c666e07a057f4e03ac8f840a8,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0025
0x8d4e0c3e07a0d13749eed4cd3f913c0c44acacb632c10cba0f170a7883d32f1c,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.003
0x081ee2346c5b70920af9a7a987ac8865b465a8ab683d76b26987e49f4039307b,11130372,2020-10-26 14:22:11,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0026
0xcdb3a49913e1d7c0819ae6bae2ca3f4b5cd0983731e3a94571bca7ac96a557bb,11130818,2020-10-26 15:57:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0008
0x847e55f08723817d12d92831a37f9cfae459c458af36e45273e87e335005950f,11130820,2020-10-26 15:57:45,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0009
0x27306d54935232dadf62cc23f91138669070cbdfb9d998a6c1106c7889ee479a,11130821,2020-10-26 15:57:47,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0009
0x091c8620f9d4efc7dfb57bd1fb32324b978ad43e6a5b0c2e8a4d72df53b6c6f8,11130845,2020-10-26 16:04:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0009
0xe96ef49b35ea45fb35d7f7dd8014dee5b18d840bd9a9ee5f59466afc63eb2107,11130845,2020-10-26 16:04:04,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.001
0x5c0031022c2f8c093e7136d9127ea0cbe654a6e5c94284751129d95d225d929f,11131065,2020-10-26 16:50:25,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0012
0x6fd0468902a9221ebc8fdd6c2cebc63e7ab099c1eea83cb4698da24c65b346a9,11131434,2020-10-26 18:14:07,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0016
0x0db5d992c8cd70a4706ee8ae6b74d083e43813da83275b5c3cee75df60e654e9,11133577,2020-10-27 02:11:37,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.002
0xc5c886740fa54d1c91210df0c64bd43063b2479acd40f52f75d56d48d05e8d89,11138165,2020-10-27 18:52:37,0x3e673742707229bca4d6b95363adf045c47a9e94,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USDT,0,0.0009
